,,,,,,,,,,,,
,,,,,,,,,,,,
,Month,Company,Dividend,Company,Dividend,Company,Dividend,Company,Dividend,Company,Dividend,Total Dividend
,January,squarpharma dividend,"৳ 12,028.00",,,bxpharam,"৳2,009",,,,,"৳ 14,037.00"
,February,,,,,,,,,,,৳ 0.00
,March,marico,৳554,,,,,,,,,৳554
,April,grameen,"৳1,055",summit,৳441,,,,,,,"৳1,496"
,May ,,,,,,,,,,,৳0
,June,,,,,,,,,,,৳0
,July,Marico,"৳2,457",,,,,,,,,"৳2,457"
,August,,,,,,,,,,,৳0
,September,Grameen,৳683,Marico,৳756,,,,,,,"৳1,439"
,October,,,,,,,,,,,৳0
,November,,,,,,,,,,,৳0
,December,,,,,,,,,,,৳0