January,,,,February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,,,Revenue,,
,Giftlytic,"৳ 1,464",,,Giftlytic,"৳ 8,457",,,Giftlytic,"৳ 1,682",,,Giftlytic,"৳ 6,292",,,Giftlytic,"৳ 7,958",,,Giftlytic,"৳ 11,085",,,Giftlytic,"৳ 6,713",,,Giftlytic,"৳ 24,496",,,Giftlytic,"৳ 42,845",,,Giftlytic amazon aff,"৳ 1,095",,,Giftlytic amazon aff,৳ 300
,,,,,,,,,,,,,classicfork,৳ 164,,,classicfork,"৳ 1,040",,,classicfork,৳ 240,,,classicfork,৳ 282,,,classicfork,৳ 258,,,classicfork,৳ 365,,,giftlytic ad,"৳ 70,978",,,giftlytic ad,"৳ 97,861"
,,,,,,,,,,,,,Amazon Creator Reward,"৳ 5,490",,,Amazon Creator Reward,"৳ 3,050",,,Amazon Creator Reward,"৳ 5,535",,,Amazon Creator Reward,"৳ 11,070",,,Amazon Creator Reward,৳ 0,,,Amazon Creator Reward,"৳ 7,995",,,classicfork,৳ 489,,,classicfork ad,৳ 950
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writers Motion Ad,৳ 141,,,Writers Motion Ad,৳ 123,,,Amazon Creator Reward,৳ 0,,,Amazon Creator Reward,৳ 0
,Total,"৳ 1,464",,,Total,"৳ 8,457",,,Total,"৳ 1,682",,,Total,"৳ 11,946",,,Total,"৳ 12,048",,,Total,"৳ 16,860",,,Total,"৳ 18,065",,,Total,"৳ 24,895",,,Total,"৳ 51,328",,,Writers Motion Ad,৳ 155,,,Writers Motion Ad,৳ 150
Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,Expenses,,,,,Total,"৳ 72,717",,,Other Kdp Books,৳ 602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gigapaw,"৳ 1,087"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,classicfork amazon aff,৳ 200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expenses,,,,,Total,"৳ 101,150"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expenses,,0
,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0,,,Total,৳ 0
Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,,,Profit,,
,Total Revenue,"৳ 1,464",,,Total Revenue,"৳ 8,457",,,Total Revenue,"৳ 1,682",,,Total Revenue,"৳ 11,946",,,Total Revenue,"৳ 12,048",,,Total Revenue,"৳ 16,860",,,Total Revenue,"৳ 18,065",,,Total Revenue,"৳ 24,895",,,Total Revenue,"৳ 51,328",,,Total Revenue,"৳ 72,717",,,Total Revenue,"৳ 101,150"
,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0,,,Total Expense,৳ 0
,Profit,"৳ 1,464",,,Profit,"৳ 8,457",,,Profit,"৳ 1,682",,,Profit,"৳ 11,946",,,Profit,"৳ 12,048",,,Profit,"৳ 16,860",,,Profit,"৳ 18,065",,,Profit,"৳ 24,895",,,Profit,"৳ 51,328",,,Profit,"৳ 72,717",,,Profit,"৳ 101,150"
,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,100.00%,,,Profit Margin,9305.45%