Tools,Cost (USD),In BDT x 122,,April,,In BDT x 122,,May,In BDT x 123,,,June,,In BDT x 123
ChatGPT,20,17909.6,,bolt,20,23790,,canva,7,21378.63,,canva,6.5,15387.3
PinClicks,20.3,,,invideo,25,,,managewp,13,,,managewp,13.3,
Managewp,10,,,ideogram,60,,,namecheap,17.16,,,pinclick,20.3,
canva,6.5,,,manychat,15,,,namecheap,13.16,,,systeme io,17,
ideogram,60,,,fathom,15,,,systeme io,17,,,windsurf add on credit,10,
fathom,15,,,chatgpt,20,,,fathom,15,,,chatgpt,20,
manychat,15,,,pinclick,20,,,chatgpt,20,,,fathom,15,
,146.8,,,managewp,13,,,pinclick,20,,,windsurf,15,
,,,,canva,7,,,pinterest ad,9.23,,,ideogram,8,
,,,,,195,,,x verification badge,7.26,,,,125.1,
,,,,,,,,windsurf,15,,,,,
,,,,,,,,ideogram,20,,,,,
,,,,,,,,,173.81,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
July,,In BDT x 123,,August,,In BDT x 123,,September,,In BDT x 123,,October,,In BDT x 123
canva,6.5,14550.9,,canva,6.5,25024.35,,canva,6.5,24110.46,,canva,6.5,20135.1
managewp,8.02,,,managewp,4.9,,,managewp,4.9,,,managewp,4.9,
pinclick,20.3,,,pinclick,20.3,,,pinclick,20.3,,,claude,100,
systeme io,17,,,systeme io,17,,,systeme io,17,,,pinclick,20.3,
chatgpt,20,,,chatgpt,20,,,chatgpt,20,,,systeme io,17,
fathom,15,,,fathom,15,,,fathom,15,,,fathom,15,
namecheap,11.48,,,namecheap,22.96,,,namecheap,11.48,,,,163.7,
claude,20,,,claude,96.79,,,claude,100.84,,,,,
,118.3,,,,203.45,,,,196.02,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
November,,In BDT x 123,,,,,,,,,,,,
canva,6.5,20135.1,,,,,,,,,,,,
managewp,4.9,,,,,,,,,,,,,
claude,100,,,,,,,,,,,,,
pinclick,20.3,,,,,,,,,,,,,
systeme io,17,,,,,,,,,,,,,
fathom,15,,,,,,,,,,,,,
,163.7,,,,,,,,,,,,,